## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.onSale
garden_tool_shovel,Shovel and Rake,garden,Easier than ever 3 for 1,https://cdn.dedeman.ro/media/catalog/product/7/0/7070025_1.jpg?optimize=low&fit=bounds&height=&width=&canvas=:,100,https://cdn.dedeman.ro/media/catalog/product/7/0/7070025_1.jpg?optimize=low&fit=bounds&height=&width=&canvas=:,1203-1,12,true
garden_tool_scissor,Scissors for grass,garden,The best scissors for grass,https://cdn.dedeman.ro/media/catalog/product/7/0/7066972-5.jpg?optimize=low&fit=bounds&height=700&width=700&canvas=700:700,30,https://cdn.dedeman.ro/media/catalog/product/7/0/7066972-5.jpg?optimize=low&fit=bounds&height=700&width=700&canvas=700:700,1203-1,13,true
brico_tool_hammer,Hammer,brico,The best hammer for your home,https://cdn.dedeman.ro/media/catalog/product/1/0/1063945_1_1.jpg?optimize=low&fit=bounds&height=700&width=700&canvas=700:700,200,https://cdn.dedeman.ro/media/catalog/product/1/0/1063945_1_1.jpg?optimize=low&fit=bounds&height=700&width=700&canvas=700:700,1204-1,15,true
brico_tool_screwdriver,Screwdriver,brico,The best screwdriver for your home,https://cdn.dedeman.ro/media/catalog/product/1/0/1006237_1.jpg?optimize=low&fit=bounds&height=700&width=700&canvas=700:700,4,https://cdn.dedeman.ro/media/catalog/product/1/0/1006237_1.jpg?optimize=low&fit=bounds&height=700&width=700&canvas=700:700,1204-1,16,true
brico_tool_chainsaw,Chainsaw,brico,Chainsaw super powerfull and reliable,https://cdn.dedeman.ro/media/catalog/product/7/0/7057839-7057873-1051607.jpg?optimize=low&fit=bounds&height=700&width=700&canvas=700:700,1000,https://cdn.dedeman.ro/media/catalog/product/7/0/7057839-7057873-1051607.jpg?optimize=low&fit=bounds&height=700&width=700&canvas=700:700,1205-1,16,true
brico_tool_motocoasa,Motocoasa,brico,Motocoasa rapida si usoara,https://cdn.dedeman.ro/media/catalog/product/7/0/7058988_1.jpg?optimize=low&fit=bounds&height=&width=&canvas=:,450,https://cdn.dedeman.ro/media/catalog/product/7/0/7058988_1.jpg?optimize=low&fit=bounds&height=&width=&canvas=:,1205-2,16,true
brico_tool_rake,Rake Brico,brico,The best rake for brico work,https://cdn.dedeman.ro/media/catalog/product/7/0/7006966_1.jpg?optimize=low&fit=bounds&height=700&width=700&canvas=700:700,194,https://cdn.dedeman.ro/media/catalog/product/10/0/1115003.jpg,1234-6,17,true
brico_tool_hose,Hose Brico,brico,The best hose for brico work,https://cdn.dedeman.ro/media/catalog/product/2/0/2004979_2_1.jpg?optimize=low&fit=bounds&height=700&width=700&canvas=700:700,870,https://cdn.dedeman.ro/media/catalog/product/3/0/5813073.jpg,1287-8,16,true
garden_tool_drill,Drill Garden,garden,The best drill for garden work,https://cdn.dedeman.ro/media/catalog/product/1/0/1051894_3.jpg?optimize=low&fit=bounds&height=700&width=700&canvas=700:700,507,https://cdn.dedeman.ro/media/catalog/product/10/0/9968747.jpg,1228-3,12,true
brico_tool_spreader,Spreader Brico,brico,The best spreader for brico work,https://cdn.dedeman.ro/media/catalog/product/7/0/7067883.jpg?optimize=low&fit=bounds&height=&width=&canvas=:,356,https://cdn.dedeman.ro/media/catalog/product/8/0/3917320.jpg,1276-6,19,true
brico_tool_drill,Drill Brico,brico,The best drill for brico work,https://cdn.dedeman.ro/media/catalog/product/1/0/1061116_9.jpg?optimize=low&fit=bounds&height=700&width=700&canvas=700:700,154,https://cdn.dedeman.ro/media/catalog/product/4/0/7173890.jpg,1234-3,18,true
brico_tool_sprinkler,Sprinkler Brico,brico,The best sprinkler for brico work,https://cdn.dedeman.ro/media/catalog/product/7/0/7062222_2.jpg?optimize=low&fit=bounds&height=700&width=700&canvas=700:700,760,https://cdn.dedeman.ro/media/catalog/product/8/0/9695683.jpg,1217-3,12,true
